countryId,countryName,countryDesc,countryCode
1001,Afghanistan,,AFG
1002,Albania,,ALB
1003,Algeria,,DZA
1004,American Samoa,,ASM
1005,Andorra,,AND
1006,Angola,,AGO
1007,Anguilla,,AIA
1008,Antarctica,,ATA
1009,Antigua and Barbuda,,ATG
1010,Argentina,,ARG
1011,Armenia,,ARM
1012,Aruba,,ABW
1013,Australia,,AUS
1014,Austria,,AUT
1015,Azerbaijan,,AZE
1016,Bahrain,,BHR
1017,Bangladesh,,BGD
1018,Barbados,,BRB
1019,Belarus,,BLR
1020,Belgium,,BEL
1021,Belize,,BLZ
1022,Benin,,BEN
1023,Bermuda,,BMU
1024,Bhutan,,BTN
1025,Bolivia,,BOL
1026,Bosnia and Herzegovina,,BIH
1027,Botswana,,BWA
1028,Bouvet Island,,BVT
1029,Brazil,,BRA
1030,British Indian Ocean Territory,,IOT
1031,"Virgin Islands, British",,VGB
1032,Brunei Darussalam,,BRN
1033,Bulgaria,,BGR
1034,Burkina Faso,,BFA
1035,Myanmar,,MMR
1036,Burundi,,BDI
1037,Cambodia,,KHM
1038,Cameroon,,CMR
1039,Canada,,CAN
1040,Cape Verde,,CPV
1041,Cayman Islands,,CYM
1042,Central African Republic,,CAF
1043,Chad,,TCD
1044,Chile,,CHL
1045,China,,CHN
1046,Christmas Island,,CXR
1047,Cocos (Keeling) Islands,,CCK
1048,Colombia,,COL
1049,Comoros,,COM
1051,Congo,,COG
1052,Cook Islands,,COK
1053,Costa Rica,,CRI
1055,Croatia,,HRV
1056,Cuba,,CUB
1057,Cyprus,,CYP
1058,Czech Republic,,CZE
1059,Denmark,,DNK
1060,Djibouti,,DJI
1061,Dominica,,DMA
1062,Dominican Republic,,DOM
1063,Timor-Leste,,TLS
1064,Ecuador,,ECU
1065,Egypt,,EGY
1066,El Salvador,,SLV
1067,Equatorial Guinea,,GNQ
1068,Eritrea,,ERI
1069,Estonia,,EST
1070,Ethiopia,,ETH
1072,Falkland Islands (Malvinas),,FLK
1073,Faroe Islands,,FRO
1074,Fiji,,FJI
1075,Finland,,FIN
1076,France,,FRA
1077,French Guiana,,GUF
1078,French Polynesia,,PYF
1079,French Southern Territories,,ATF
1080,Gabon,,GAB
1081,Georgia,,GEO
1082,Germany,,DEU
1083,Ghana,,GHA
1084,Gibraltar,,GIB
1085,Greece,,GRC
1086,Greenland,,GRL
1087,Grenada,,GRD
1088,Guadeloupe,,GLP
1089,Guam,,GUM
1090,Guatemala,,GTM
1091,Guinea,,GIN
1092,Bissau,,GNB
1093,Guyana,,GUY
1094,Haiti,,HTI
1095,Heard Island and McDonald Islands,,HMD
1096,Holy See (Vatican City State),,VAT
1097,Honduras,,HND
1098,Hong Kong,,HKG
1099,Hungary,,HUN
1100,Iceland,,ISL
1101,India,,IND
1102,Indonesia,,IDN
1103,"Iran, Islamic Republic of",,IRN
1104,Iraq,,IRQ
1105,Ireland,,IRL
1106,Israel,,ISR
1107,Italy,,ITA
1108,Jamaica,,JAM
1109,Japan,,JPN
1110,Jordan,,JOR
1111,Kazakhstan,,KAZ
1112,Kenya,,KEN
1113,Kiribati,,KIR
1114,"Korea, Democratic People's Republic of",,PRK
1115,"Korea, Republic of",,KOR
1116,Kuwait,,KWT
1117,Kyrgyzstan,,KGZ
1118,Lao People's Democratic Republic,,LAO
1119,Latvia,,LVA
1120,Lebanon,,LBN
1121,Lesotho,,LSO
1122,Liberia,,LBR
1123,Libyan Arab Jamahiriya,,LBY
1124,Liechtenstein,,LIE
1125,Lithuania,,LTU
1126,Luxembourg,,LUX
1127,Macao,,MAC
1128,"Macedonia, Republic of",,MKD
1129,Madagascar,,MDG
1130,Malawi,,MWI
1131,Malaysia,,MYS
1132,Maldives,,MDV
1133,Mali,,MLI
1134,Malta,,MLT
1135,Marshall Islands,,MHL
1136,Martinique,,MTQ
1137,Mauritania,,MRT
1138,Mauritius,,MUS
1139,Mayotte,,MYT
1140,Mexico,,MEX
1141,"Micronesia, Federated States of",,FSM
1142,Moldova,,MDA
1143,Monaco,,MCO
1144,Mongolia,,MNG
1145,Montserrat,,MSR
1146,Morocco,,MAR
1147,Mozambique,,MOZ
1148,Namibia,,NAM
1149,Nauru,,NRU
1150,Nepal,,NPL
1151,Netherlands Antilles,,ANT
1152,Netherlands,,NLD
1153,New Caledonia,,NCL
1154,New Zealand,,NZL
1155,Nicaragua,,NIC
1156,Niger,,NER
1157,Nigeria,,NGA
1158,Niue,,NIU
1159,Norfolk Island,,NFK
1160,Northern Mariana Islands,,MNP
1161,Norway,,NOR
1162,Oman,,OMN
1163,Pakistan,,PAK
1164,Palau,,PLW
1165,"Palestinian Territory, Occupied",,PSE
1166,Panama,,PAN
1167,Papua New Guinea,,PNG
1168,Paraguay,,PRY
1169,Peru,,PER
