countryCodeId,countryCodeName,countryCodeDesc,countryCodeType
1,Afghanistan (+93),,93
2,Albania (+355),,355
3,Algeria (+213),,213
4,American Samoa (+1684),,1684
5,Andorra (+376),,376
6,Angola (+244),,244
7,Anguilla (+1264),,1264
8,Antigua and Barbuda (+1268),,1268
9,Argentina (+54),,54
10,Armenia (+374),,374
11,Aruba (+297),,297
12,Australia (+61),,61
13,Austria (+43),,43
14,Azerbaijan (+994),,994
15,Bahamas (+1242),,1242
16,Bahrain (+973),,973
17,Bangladesh (+880),,880
18,Barbados (+1246),,1246
19,Belarus (+375),,375
20,Belgium (+32),,32
21,Belize (+501),,501
22,Benin (+229),,229
23,Bermuda (+1441),,1441
24,Bhutan (+975),,975
25,Bolivia (+591),,591
26,Bosnia and Herzegovina (+387),,387
27,Botswana (+267),,267
28,Brazil (+55),,55
29,British Indian Ocean Territory (+246),,246
30,British Virgin Islands (+1284),,1284
31,Brunei (+673),,673
32,Bulgaria (+359),,359
33,Burkina Faso (+226),,226
34,Burma-Myanmar (+95),,95
35,Burundi (+257),,257
36,Cambodia (+855),,855
37,Cameroon (+237),,237
38,Canada (+1),,1
39,Cape Verde (+238),,238
40,Cayman Islands (+1345),,1345
41,Central African Republic (+236),,236
42,Chad (+235),,235
43,Chile (+56),,56
44,China (+86),,86
45,Christmas Island (+6189),,6189
46,Colombia (+57),,57
47,Comoros (+269),,269
48,Congo (+242),,242
49,"Congo, The Democratic Republic (+243)",,243
50,Cook Islands (+682),,682
51,Costa Rica (+506),,506
52,Croatia (+385),,385
53,Cuba (+53),,53
54,Cyprus (+357),,357
55,Czech Republic (+420),,420
56,Denmark (+45),,45
57,Djibouti (+253),,253
58,Dominica (+1767),,1767
59,Dominican Republic (+1849),,1849
60,Dominican Republic (+1829),,1829
61,Dominican Republic (+1809),,1809
62,East Timor (+670),,670
63,Ecuador (+593),,593
64,Egypt (+20),,20
65,El Salvador (+503),,503
66,Equatorial Guinea (+240),,240
67,Eritrea (+291),,291
68,Estonia (+372),,372
69,Ethiopia (+251),,251
70,Faroe Islands (+298),,298
71,Fiji (+679),,679
72,Finland (+358),,358
73,France (+33),,33
74,French Guiana (+594),,594
75,French Polynesia (+689),,689
76,Gabon (+241),,241
77,Gambia (+220),,220
78,Georgia (+995),,995
79,Germany (+49),,49
80,Ghana (+233),,233
81,Gibraltar (+350),,350
82,Greece (+30),,30
83,Greenland (+299),,299
84,Grenada (+1473),,1473
85,Guadeloupe (+590),,590
86,Guam (+1671),,1671
87,Guatemala (+502),,502
88,Guinea (+224),,224
89,Guinea-Bissau (+245),,245
90,Guyana (+592),,592
91,Haiti (+509),,509
92,Honduras (+504),,504
93,Hong Kong (+852),,852
94,Hungary (+36),,36
95,Iceland (+354),,354
96,India (+91),,91
97,Indonesia (+62),,62
98,Iran (+98),,98
99,Iraq (+964),,964
100,Ireland (+353),,353
101,Israel (+972),,972
102,Italy (+39),,39
103,Ivory Coast (+225),,225
104,Jamaica (+1876),,1876
105,Japan (+81),,81
106,Jordan (+962),,962
107,Kazakhstan (+7),,7
108,Kenya (+254),,254
109,Kiribati (+686),,686
110,Kuwait (+965),,965
111,Kyrgyzstan (+996),,996
112,Laos (+856),,856
113,Latvia (+371),,371
114,Lebanon (+961),,961
115,Lesotho (+266),,266
116,Liberia (+231),,231
